Name,SMILES,InChI,Solvent,Proton Transfer Type,pKa Type,pKa Type (Standardized),pKa Value (Corrected),pKa Value,pKa Value Uncertainty,Temperature,Temperature Uncertainty,Method,Method (code),Ionic Strength,Water Content,Homoconjugation and Other Reactions,Indicator type,Remarks,Remarks (code),Additional info,Reference,Reference (code),Standard,Standard (code)
"N,N,N’,N’-Tetramethyl-p-phenylenediamine",CN(C)c1ccc(N(C)C)cc1,"InChI=1S/C10H16N2/c1-11(2)9-5-7-10(8-6-9)12(3)4/h5-8H,1-4H3",nitromethane,basic,pK1,pKaH1,21.8,13.4,,,,Not labeled,,,,,,"As in *1, but after making a statistical correction.",*1a,,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"N,N,N’,N’-Tetramethylene-diamine",CN(C)N(C)C,InChI=1S/C4H12N2/c1-5(2)6(3)4/h1-4H3,nitromethane,basic,pK1,pKaH1,26.4,15.3,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"As in *1, but pKa(DPhG)=14.5,instead of 17.2 in *1, was used as reference. The difference between the pKa(DPhG)values was due to the correction made in *1b for the incomplete salt dissociation. When pKa values of group A are to be compared with those of group B, this difference must be taken into account. ",*1b,,"E.I. Matrosov, E.N. Tsvetkov, Z.N. Mironova, R.A. Malevannaya and M.I. Kabachnik, Izv. Akad. Nauk SSSR, Ser. Khim., 1333 (1975); Bull. Acad. Sci. USSR, Chem. Sec., 1231 (1975). ",75M,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
"N,N,N’,N’-Tetramethylene-diamine",CN(C)N(C)C,InChI=1S/C4H12N2/c1-5(2)6(3)4/h1-4H3,nitromethane,basic,pK2,pKaH2,19.7,8.6,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"As in *1, but pKa(DPhG)=14.5,instead of 17.2 in *1, was used as reference. The difference between the pKa(DPhG)values was due to the correction made in *1b for the incomplete salt dissociation. When pKa values of group A are to be compared with those of group B, this difference must be taken into account. ",*1b,,"E.I. Matrosov, E.N. Tsvetkov, Z.N. Mironova, R.A. Malevannaya and M.I. Kabachnik, Izv. Akad. Nauk SSSR, Ser. Khim., 1333 (1975); Bull. Acad. Sci. USSR, Chem. Sec., 1231 (1975). ",75M,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
"N,N-Diethylaniline",CCN(CC)c1ccccc1,"InChI=1S/C10H15N/c1-3-11(4-2)10-8-6-5-7-9-10/h5-9H,3-4H2,1-2H3",nitromethane,basic,pK1,pKaH1,20.51,12.11,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"N,N-Dimethylallylamine",C=CCN(C)C,"InChI=1S/C5H11N/c1-4-5-6(2)3/h4H,1,5H2,2-3H3",nitromethane,basic,pK1,pKaH1,25.06,16.66,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"N,N-Dimethylaniline",CN(C)c1ccccc1,"InChI=1S/C8H11N/c1-9(2)8-6-4-3-5-7-8/h3-7H,1-2H3",nitromethane,basic,pK1,pKaH1,19.44,11.04,0.15,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and B.I. Stepanov, lzv. Vyssh. Ucheb. Zaved., Ser. Khim. i Khim. Tekhnol., 11, 1193 (1968). B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ","68K,73K","Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"N,N-Dimethylaniline",CN(C)c1ccccc1,"InChI=1S/C8H11N/c1-9(2)8-6-4-3-5-7-8/h3-7H,1-2H3",nitromethane,basic,pK1,pKaH1,19.42,8.32,,25,0.5,Potentiometric (glass electrode),P(G),~2E-3M,(3mM),,,"As in *1, but pKa(DPhG)=14.5,instead of 17.2 in *1, was used as reference. The difference between the pKa(DPhG)values was due to the correction made in *1b for the incomplete salt dissociation. When pKa values of group A are to be compared with those of group B, this difference must be taken into account. ",*1b,,"E.I. Matrosov, A.G. Kozachenko and M.l. Kabachnik, Izv. Akad. Nauk. SSSR, Ser. Khim., 1470 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 1406 (1976). ",76M1,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
"N,N-Dimethylbenzylamine",CN(C)Cc1ccccc1,"InChI=1S/C9H13N/c1-10(2)8-9-6-4-3-5-7-9/h3-7H,8H2,1-2H3",nitromethane,basic,pK1,pKaH1,24.57,16.17,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"N,N-Dimethylbutylamine",CCCCN(C)C,"InChI=1S/C6H15N/c1-4-5-6-7(2)3/h4-6H2,1-3H3",nitromethane,basic,pK1,pKaH1,25.93,17.53,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"N,N-Dimethylcyclohexylamine",CN(C)C1CCCCC1,"InChI=1S/C8H17N/c1-9(2)8-6-4-3-5-7-8/h8H,3-7H2,1-2H3",nitromethane,basic,pK1,pKaH1,26.45,18.05,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"N,N-Dimethylethylamine",CCN(C)C,"InChI=1S/C4H11N/c1-4-5(2)3/h4H2,1-3H3",nitromethane,basic,pK1,pKaH1,26.17,17.77,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"N,N-Dimethylisobutylamine",CC(C)CN(C)C,"InChI=1S/C6H15N/c1-6(2)5-7(3)4/h6H,5H2,1-4H3",nitromethane,basic,pK1,pKaH1,25.51,17.11,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"N,N-dimethyl-4-(phenyliminomethyl)aniline",c1cc(N(C)(C))ccc1C=Nc2ccccc2,"InChI=1S/C15H16N2/c1-17(2)15-10-8-13(9-11-15)12-16-14-6-4-3-5-7-14/h3-12H,1-2H3",nitromethane,basic,pK1,pKaH1,22.39,11.29,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
N-(4-methoxyphenyl)-1-(3-nitrophenyl)methanimine,c1c([N+](=O)[O-])cccc1C=Nc2ccc(OC)cc2,"InChI=1S/C14H12N2O3/c1-19-14-7-5-12(6-8-14)15-10-11-3-2-4-13(9-11)16(17)18/h2-10H,1H3",nitromethane,basic,pK1,pKaH1,17.14,8.74,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
N-(4-methoxyphenyl)-1-(4-methylphenyl)methanimine,c1cc(C)ccc1C=Nc2ccc(OC)cc2,"InChI=1S/C15H15NO/c1-12-3-5-13(6-4-12)11-16-14-7-9-15(17-2)10-8-14/h3-11H,1-2H3",nitromethane,basic,pK1,pKaH1,17.05,8.65,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
N-(4-methoxyphenyl)-1-phenylmethanimine,c1ccccc1C=Nc2ccc(OC)cc2,"InChI=1S/C14H13NO/c1-16-14-9-7-13(8-10-14)15-11-12-5-3-2-4-6-12/h2-11H,1H3",nitromethane,basic,pK1,pKaH1,19.04,10.64,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
N-(diethylphosphorylmethyl)-N-ethylethanamine,CCN(CC)CP(=O)(CC)CC,"InChI=1S/C9H22NOP/c1-5-10(6-2)9-12(11,7-3)8-4/h5-9H2,1-4H3",nitromethane,basic,pK1(N),pKaH1,22.54,11.44,,,,Not labeled,,,,,,Table: pKa for tertiary phosphine oxides(B) (Ref. 75M); referred to pKa(DPhG)=14.5 [group B]; see *1b and *2. ,*9,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"E.I. Matrosov, E.N. Tsvetkov, Z.N. Mironova, R.A. Malevannaya and M.I. Kabachnik, Izv. Akad. Nauk SSSR, Ser. Khim., 1333 (1975); Bull. Acad. Sci. USSR, Chem. Sec., 1231 (1975). ",75M,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
N-(diphenylphosphorylmethyl)-N-ethylethanamine,CCN(CC)CP(=O)(c1ccccc1)c1ccccc1,"InChI=1S/C17H22NOP/c1-3-18(4-2)15-20(19,16-11-7-5-8-12-16)17-13-9-6-10-14-17/h5-14H,3-4,15H2,1-2H3",nitromethane,basic,pK1(N),pKaH1,21.9,10.8,,,,Not labeled,,,,,,Table: pKa for tertiary phosphine oxides(B) (Ref. 75M); referred to pKa(DPhG)=14.5 [group B]; see *1b and *2. ,*9,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"E.I. Matrosov, E.N. Tsvetkov, Z.N. Mironova, R.A. Malevannaya and M.I. Kabachnik, Izv. Akad. Nauk SSSR, Ser. Khim., 1333 (1975); Bull. Acad. Sci. USSR, Chem. Sec., 1231 (1975). ",75M,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
N-Benzylideneaniline,C(=Nc1ccccc1)c1ccccc1,InChI=1S/C13H11N/c1-3-7-12(8-4-1)11-14-13-9-5-2-6-10-13/h1-11H,nitromethane,basic,pK1,pKaH1,17.83,9.43,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5. Table: pKa for the conjugate acids of substituted benzylideneanilines(B)","*1,3",,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
N-Ethylaniline,CCNc1ccccc1,"InChI=1S/C8H11N/c1-2-9-8-6-4-3-5-7-8/h3-7,9H,2H2,1H3",nitromethane,basic,pK1,pKaH1,18.58,10.18,0.15,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
N-Methyl-m-nitroaniline,CNc1cccc([N+](=O)[O-])c1,"InChI=1S/C7H8N2O2/c1-8-6-3-2-4-7(5-6)9(10)11/h2-5,8H,1H3",nitromethane,basic,pK1,pKaH1,14.99,6.59,0.2,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
N-Methylaniline,CNc1ccccc1,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",nitromethane,basic,pK1,pKaH1,18.2,9.8,0.15,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
N-Methylaniline,CNc1ccccc1,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",nitromethane,basic,pK1,pKaH1,18.29,7.19,,25,0.5,Potentiometric (glass electrode),P(G),~2E-3M,(3mM),,,"As in *1, but pKa(DPhG)=14.5,instead of 17.2 in *1, was used as reference. The difference between the pKa(DPhG)values was due to the correction made in *1b for the incomplete salt dissociation. When pKa values of group A are to be compared with those of group B, this difference must be taken into account. ",*1b,,"E.I. Matrosov, A.G. Kozachenko and M.l. Kabachnik, Izv. Akad. Nauk. SSSR, Ser. Khim., 1470 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 1406 (1976). ",76M1,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
N-Methyldibutylamine,CCCCN(C)CCCC,"InChI=1S/C9H21N/c1-4-6-8-10(3)9-7-5-2/h4-9H2,1-3H3",nitromethane,basic,pK1,pKaH1,26.07,17.67,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
N-Methyldiethylamine,CCN(C)CC,"InChI=1S/C5H13N/c1-4-6(3)5-2/h4-5H2,1-3H3",nitromethane,basic,pK1,pKaH1,26.43,18.03,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
N-[bis(dimethylamino)phosphoryl]-N-methylmethanamine,CN(C)P(=O)(N(C)C)N(C)C,"InChI=1S/C6H18N3OP/c1-7(2)11(10,8(3)4)9(5)6/h1-6H3",nitromethane,basic,pK1(P=O),pKaH1,17.2,6.1,,,,Not labeled,,,,,,Table: pKa for tertiary phosphine oxides(B) (Ref. 75M); referred to pKa(DPhG)=14.5 [group B]; see *1b and *2. ,*9,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"E.I. Matrosov, E.N. Tsvetkov, Z.N. Mironova, R.A. Malevannaya and M.I. Kabachnik, Izv. Akad. Nauk SSSR, Ser. Khim., 1333 (1975); Bull. Acad. Sci. USSR, Chem. Sec., 1231 (1975). ",75M,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
N-[diethylamino(ethyl)phosphoryl]-N-ethylethanamine,CCN(CC)P(=O)(CC)N(CC)CC,"InChI=1S/C10H25N2OP/c1-6-11(7-2)14(13,10-5)12(8-3)9-4/h6-10H2,1-5H3",nitromethane,basic,pK1(N),pKaH1,25,13.9,,,,Not labeled,,,,,,Table: pKa for tertiary phosphine oxides(B) (Ref. 75M); referred to pKa(DPhG)=14.5 [group B]; see *1b and *2. ,*9,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"E.I. Matrosov, E.N. Tsvetkov, Z.N. Mironova, R.A. Malevannaya and M.I. Kabachnik, Izv. Akad. Nauk SSSR, Ser. Khim., 1333 (1975); Bull. Acad. Sci. USSR, Chem. Sec., 1231 (1975). ",75M,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
N-[diethylamino(ethyl)phosphoryl]-N-ethylethanamine,CCN(CC)P(=O)(CC)N(CC)CC,"InChI=1S/C10H25N2OP/c1-6-11(7-2)14(13,10-5)12(8-3)9-4/h6-10H2,1-5H3",nitromethane,basic,pK2,pKaH2,20,8.9,,,,Not labeled,,,,,,Table: pKa for tertiary phosphine oxides(B) (Ref. 75M); referred to pKa(DPhG)=14.5 [group B]; see *1b and *2. ,*9,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"E.I. Matrosov, E.N. Tsvetkov, Z.N. Mironova, R.A. Malevannaya and M.I. Kabachnik, Izv. Akad. Nauk SSSR, Ser. Khim., 1333 (1975); Bull. Acad. Sci. USSR, Chem. Sec., 1231 (1975). ",75M,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
Nitric acid,O=[N+]([O-])O,"InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)",nitromethane,acidic,pK1,pKa1,17.2,8.8,,25,0.3,Potentiometric (glass electrode),P(G),DHE,5mM,logKf(HA2-)=3.56[72P],,"pKa was obtained by the titration of the acid with ca. 2.3M (~50%) aq. Bu4NOH, using pKa(DPhG)=17.2 as reference. Water introduced with the titrant had no practical influence on the values of pKa and homoconjugation constant. ",*1d,,"B.A. Korolev and E.I. Kashkovskaya, Zh. Obshch. Khim., 49, 909 (1979); J. Gen. Chem. USSR, 49, 788 (1979). ",79K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
nitromethane,C[N+](=O)[O-],InChI=1S/CH3NO2/c1-2(3)4/h1H3,nitromethane,autoprotolysis const.,pKs,pKs,>24,>24,,25,0.5,Potentiometric (glass electrode),P(G),,(3mM),,,"pKs was obtained by pKs>= (Es/59) - log c(HClO4)c(R4NOH), where Es(in mV) is the difference between the half-neutralization potentials of HClO4 and R4NOHat concentrations c(HClO4) and c(R4NOH) at the instant of half-neutralization.",*13,,"A.G. Kozachenko, E.I. Matrosov and M.I. Kabachnik, Izv. Akad. Nauk. SSSR, Ser. Khim., 2440 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 2275 (1976). ",76K2,,
Pentylamine,CCCCCN,"InChI=1S/C5H13N/c1-2-3-4-5-6/h2-6H2,1H3",nitromethane,basic,pK1,pKaH1,24.93,16.53,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, M.A. Mal'tseva, A.I. Tarasov and V.A. Vasnev, Zh. Obshch. Khim., 44, 864 (1974); J. Gen. Chem. USSR, 44, 833 (1974). ",74K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Perchloric acid,[O-][Cl+3]([O-])([O-])O,"InChI=1S/ClHO4/c2-1(3,4)5/h(H,2,3,4,5)",nitromethane,acidic,pK1,pKa1,2.23,2.23,,25,0.02,Conductometric,C,,(~3mM),,,The Shedlovsky method was used. ,*11,,"E.I. Matrosov, A.G. Kozachenko and M.l. Kabachnik, Izv. Akad. Nauk. SSSR, Ser. Khim., 1470 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 1406 (1976). ",76M1,,
Perchloric acid,[O-][Cl+3]([O-])([O-])O,"InChI=1S/ClHO4/c2-1(3,4)5/h(H,2,3,4,5)",nitromethane,acidic,pK1,pKa1,2,2,,25,,Conductometric,C,,11mM,,,The Shedlovsky method was used. ,*11,,"T. Fujinaga and I. Sakamoto, J. Electroanal. Chem., 85, 185 (1977). ",77F,,
Phenol,Oc1ccccc1,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",nitromethane,acidic,pK1,pKa1,34.1(calcd),25.7(calcd),,25,,Potentiometric (glass electrode),P(G),,5mM,,,,,,"B.A. Korolev and E.I. Kashkovskaya, Zh. Obshch. Khim., 49, 2360 (1979); J. Gen. Chem. USSR, 49, 2081 (1979).",79K1,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
Phenoxyacetic acid,O=C(O)COc1ccccc1,"InChI=1S/C8H8O3/c9-8(10)6-11-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)",nitromethane,acidic,pK1,pKa1,25.1,12.6,0.05,25,0.5,Potentiometric (glass electrode),P(G),~2E-3M,(3mM),,,"pKa was obtained from the half-neutralization point using pKa(HPic)=7.94 as reference. The glass electrode was calibrated in picrate buffer solutions. The base titrant was 1,3-diphenylguanidine, which was criticized[79K] not to be strong enough as a base titrant. ",*1c,,"A.G. Kozachenko, E.I. Matrosov and M.I. Kabachnik, Izv. Akad. Nauk SSSR, Ser. Khim., 1476 (1976); Bull. Acad. Sci. USSR, Chem. Sec., 1411 (1976). ",76K,Group C: pKa(HPic)=7.94 (see *1c). ,C
Phenoxyacetic acid,O=C(O)COc1ccccc1,"InChI=1S/C8H8O3/c9-8(10)6-11-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)",nitromethane,acidic,pK1,pKa1,26.6,18.2,,25,0.3,Potentiometric (glass electrode),P(G),DHE,5mM,logKf(HA2-)=4.1,,"pKa was obtained by the titration of the acid with ca. 2.3M (~50%) aq. Bu4NOH, using pKa(DPhG)=17.2 as reference. Water introduced with the titrant had no practical influence on the values of pKa and homoconjugation constant. ",*1d,,"B.A. Korolev and E.I. Kashkovskaya, Zh. Obshch. Khim., 49, 909 (1979); J. Gen. Chem. USSR, 49, 788 (1979). ",79K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
